,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
0,Philadelphia Warriors*,45,27,0.625,—,103.1,98.8,3.82,1956
1,Boston Celtics*,39,33,0.542,6.0,106.0,105.3,0.72,1956
2,Syracuse Nationals*,35,37,0.486,10.0,96.9,96.9,0.17,1956
3,New York Knicks*,35,37,0.486,10.0,100.2,100.6,-0.2,1956
4,Fort Wayne Pistons*,37,35,0.514,—,94.4,93.7,0.45,1956
5,Minneapolis Lakers*,33,39,0.458,4.0,99.3,100.2,-0.92,1956
6,St. Louis Hawks*,33,39,0.458,4.0,96.6,98.0,-1.42,1956
7,Rochester Royals,31,41,0.431,6.0,95.8,98.7,-2.61,1956
8,Boston Celtics*,44,28,0.611,—,105.5,100.2,4.78,1957
9,Syracuse Nationals*,38,34,0.528,6.0,99.7,101.1,-1.03,1957
10,Philadelphia Warriors*,37,35,0.514,7.0,100.4,98.8,1.54,1957
11,New York Knicks,36,36,0.5,8.0,100.8,100.9,0.07,1957
12,St. Louis Hawks*,34,38,0.472,—,98.5,98.6,-0.27,1957
13,Minneapolis Lakers*,34,38,0.472,—,102.3,103.1,-0.89,1957
14,Fort Wayne Pistons*,34,38,0.472,—,96.4,98.7,-2.18,1957
15,Rochester Royals,31,41,0.431,3.0,93.4,95.6,-2.08,1957
16,Boston Celtics*,49,23,0.681,—,109.9,104.4,5.02,1958
17,Syracuse Nationals*,41,31,0.569,8.0,107.2,105.1,2.18,1958
18,Philadelphia Warriors*,37,35,0.514,12.0,104.3,104.4,0.21,1958
19,New York Knicks,35,37,0.486,14.0,112.1,110.8,1.35,1958
20,St. Louis Hawks*,41,31,0.569,—,107.5,106.2,0.82,1958
21,Detroit Pistons*,33,39,0.458,8.0,105.3,107.7,-2.32,1958
22,Cincinnati Royals*,33,39,0.458,8.0,101.7,103.1,-1.47,1958
23,Minneapolis Lakers,19,53,0.264,22.0,105.1,111.5,-5.78,1958
24,Boston Celtics*,52,20,0.722,—,116.4,109.9,5.84,1959
25,New York Knicks*,40,32,0.556,12.0,110.3,110.1,0.49,1959
26,Syracuse Nationals*,35,37,0.486,17.0,113.1,109.1,3.74,1959
27,Philadelphia Warriors,32,40,0.444,20.0,103.3,106.3,-2.29,1959
28,St. Louis Hawks*,49,23,0.681,—,108.8,105.1,2.89,1959
29,Minneapolis Lakers*,33,39,0.458,16.0,106.0,107.3,-1.42,1959
30,Detroit Pistons*,28,44,0.389,21.0,105.1,106.3,-1.36,1959
31,Cincinnati Royals,19,53,0.264,30.0,103.1,111.9,-7.89,1959
32,Boston Celtics*,59,16,0.787,—,124.5,116.2,7.62,1960
33,Philadelphia Warriors*,49,26,0.653,10.0,118.6,116.0,2.77,1960
34,Syracuse Nationals*,45,30,0.6,14.0,118.9,116.3,2.77,1960
35,New York Knicks,27,48,0.36,32.0,117.3,119.6,-1.43,1960
36,St. Louis Hawks*,46,29,0.613,—,113.4,110.7,1.77,1960
37,Detroit Pistons*,30,45,0.4,16.0,111.6,115.0,-3.45,1960
38,Minneapolis Lakers*,25,50,0.333,21.0,107.3,111.5,-4.14,1960
